OBJECTID,FREQUENCY,NEIGHNAME,BASE_ZONE,GENERAL_ZONING,ACRES,geom
566,4,EAST CONGRESS,MF-2,Multi-Family,17.87133941,
580,8,EAST OAK HILL,GO,Mixed Use,30.74574897,
299,5,CENTRAL EAST AUSTIN,NO,Mixed Use,0.394858147,
1276,1,OLD ENFIELD,SF-6,Single Family,0.350591149,
436,14,DAWSON,P,Public,14.2631784,
1575,1,SOUTH BRODIE,SF-6,Single Family,3.789092346,
457,41,DEL VALLE,CS,Commercial,240.8149808,
328,109,CHERRY CREEK,SF-3,Single Family,511.353289,
98,11,AVERY RANCH--LAKELINE,MF-3,Multi-Family,141.7967893,
589,11,EAST OAK HILL,LR,Mixed Use,36.8500326,
1956,17,WEST UNIVERSITY,MF-6,Multi-Family,1.317396574,
385,1,CRESTVIEW,CS-1,Commercial,0.20386662,
1628,12,SOUTH RIVER CITY,CS-1,Commercial,2.040267268,
309,7,CHERRY CREEK,DR,"Agriculture, Development Reserve",29.93198369,
321,3,CHERRY CREEK,NO,Mixed Use,1.789283993,
435,7,DAWSON,NO,Mixed Use,0.178246254,
55,1,ALLANDALE,NO,Mixed Use,0.144882714,
432,60,DAWSON,MF-3,Multi-Family,17.585461,
2081,77,WOOTEN,MF-2,Multi-Family,19.64183068,
229,5,BRENTWOOD,LO,Office,0.991124969,
341,5,CHESTNUT,MF-3,Multi-Family,0.450852775,
1532,8,SLAUGHTER CREEK,CS,Commercial,165.4635153,
1705,115,ST. EDWARDS,SF-3,Single Family,18.89282753,
882,7,HOLLY,CS,Vertical Mixed Use,6.015361761,
170,26,BLUFF SPRINGS,GR,Commercial,132.8470562,
367,1,CORONADO HILLS,LO,Office,3.808225565,
623,1,FOUR POINTS,SF-3,Single Family,0.168200369,
2040,25,WINDSOR PARK,MF-4,Multi-Family,16.60060184,
1176,33,NORTH LAMAR,LR,Commercial,7.615250971,
1433,7,RMMA,P,Public,19.23788172,
1918,101,WEST OAK HILL,LO,Office,118.471573,
1803,26,UPPER BOGGY CREEK,LR,Vertical Mixed Use,5.421216047,
577,4,EAST OAK HILL,CS,Mixed Use,3.615673976,
259,54,BRODIE LANE,SF-3,Single Family,277.5874751,
993,12,LBJ,P,Public,750.2125938,
535,32,DOWNTOWN,MF-4,Multi-Family,15.67886776,
194,6,BOULDIN CREEK,CS-1,Mixed Use,0.428162825,
244,3,BRODIE LANE,CS,Commercial,27.70820951,
234,40,BRENTWOOD,MF-2,Multi-Family,3.647622118,
495,2,DITTMAR--SLAUGHTER,GO,Office,67.08334213,
624,4,FOUR POINTS,SF-6,Single Family,46.65089662,
249,8,BRODIE LANE,GR,Mixed Use,105.6252573,
1292,1,OLD WEST AUSTIN,LR,Vertical Mixed Use,0.066773557,
1800,35,UPPER BOGGY CREEK,LO,Mixed Use,3.062818229,
253,1,BRODIE LANE,NO,Mixed Use,0.009177523,
490,23,DITTMAR--SLAUGHTER,CS,Commercial,126.8849024,
1789,14,UNIVERSITY HILLS,SF-6,Single Family,2.519470058,
348,2,CIRCLE C SOUTH,GO,Mixed Use,71.08988318,
138,3,BARTON HILLS,GR,Vertical Mixed Use,3.930401055,
1072,2,MLK,LO,Vertical Mixed Use,1.134340083,
1062,1,MCNEIL,W/LO,Industrial,0.048898221,
760,44,GRACY WOODS,LO,Office,119.4905334,
128,1,BARTON CREEK MALL AREA,SF-4A,Single Family,1.273030765,
1344,33,PARKER LANE,SF-6,Single Family,27.91882094,
343,30,CHESTNUT,P,Public,3.907787322,
210,6,BOULDIN CREEK,MF-6,Multi-Family,8.830041331,
561,4,EAST CONGRESS,CS,Vertical Mixed Use,2.842436542,
323,13,CHERRY CREEK,P,Public,84.49167348,
458,6,DEL VALLE,CS-1,Commercial,2.358212229,
578,6,EAST OAK HILL,CS-1,Commercial,1.536477765,
1442,1,ROBINSON RANCH,MF-2,Multi-Family,0.004716948,
1644,3,SOUTH RIVER CITY,MF-6,Multi-Family,1.455377903,
123,10,BARTON CREEK MALL AREA,PUD,Planned Unit Development,229.9357458,
507,2,DITTMAR--SLAUGHTER,MF-4,Multi-Family,34.44092971,
373,6,CORONADO HILLS,MF-4,Multi-Family,10.0563884,
103,1,AVERY RANCH--LAKELINE,R&D,Industrial,3.14174631,
111,2,BARTON CREEK MALL AREA,CS-1,Commercial,0.534154874,
1493,3,ROSEDALE,UNZ,Unzoned,36.90818711,
1909,9,WEST OAK HILL,CS-1,Commercial,0.555236355,
478,6,DEL VALLE EAST,IP,Industrial,37.04098123,
764,13,GRACY WOODS,MF-2,Multi-Family,89.96930384,
44,5,ALLANDALE,CS-1,Commercial,0.987334164,
1753,1,TECH RIDGE,LR,Mixed Use,5.18780185,
796,22,HANCOCK,MF-2,Multi-Family,1.814398168,
503,1,DITTMAR--SLAUGHTER,LR,Mixed Use,1.917790151,
1711,4,ST. JOHN,CS-1,Mixed Use,0.595737865,
174,8,BLUFF SPRINGS,LR,Commercial,14.20136338,
146,3,BARTON HILLS,PUD,Planned Unit Development,141.0433974,
376,6,CORONADO HILLS,RR,"Rural, Lake Austin Residence",0.613533068,
1048,1,MCNEIL,LO,Mixed Use,0.075593002,
404,3,DAVENPORT LAKE AUSTIN,GR,Commercial,15.16761987,
517,14,DITTMAR--SLAUGHTER,SF-6,Single Family,107.1092332,
628,6,FRANKLIN PARK,CS-1,Commercial,1.92905963,
919,4,HYDE PARK,SF-2,Single Family,12.12564213,
2088,5,ZILKER,CS,Mixed Use,4.451361412,
1561,1,SOUTH BRODIE,GO,Mixed Use,0.503860122,
508,12,DITTMAR--SLAUGHTER,MH,Mobile Home,32.42180766,
247,2,BRODIE LANE,GO,Office,11.30044685,
133,2,BARTON HILLS,CS-1,Commercial,0.691902399,
1211,7,NORTH LOOP,SF-6,Single Family,1.021408992,
390,7,CRESTVIEW,GR,Vertical Mixed Use,3.246390363,
817,1,HARRIS BRANCH,SF-2,Single Family,0.24061418,
298,3,CENTRAL EAST AUSTIN,MF-6,Multi-Family,0.399718569,
493,40,DITTMAR--SLAUGHTER,DR,"Agriculture, Development Reserve",273.9917315,
412,54,DAVENPORT LAKE AUSTIN,SF-1,Single Family,260.7669348,
42,1,ALLANDALE,CS,Mixed Use,0.479413695,
512,10,DITTMAR--SLAUGHTER,RR,"Rural, Lake Austin Residence",10.77554469,
554,8,EAST CESAR CHAVEZ,MF-4,Multi-Family,9.44734125,
1037,39,MCKINNEY,SF-6,Single Family,21.55714553,
483,25,DEL VALLE EAST,MH,Mobile Home,207.1932808,
471,1,DEL VALLE,SF-1,Single Family,1.638553454,
987,10,LBJ,GR,Commercial,98.69117379,
1333,23,PARKER LANE,LO,Office,18.40641981,
347,1,CIRCLE C SOUTH,CS,Mixed Use,99.14883374,
278,3,CENTRAL EAST AUSTIN,CH,Commercial,1.275852712,
518,4,DITTMAR--SLAUGHTER,W/LO,Industrial,8.445457923,
2090,9,ZILKER,CS-1,Commercial,1.760222667,
357,95,CIRCLE C SOUTH,SF-2,Single Family,1157.158354,
1468,1,ROGERS HILL,W/LO,Industrial,3.014473656,
1536,1,SLAUGHTER CREEK,GO,Mixed Use,3.959503274,
153,6,BERGSTROM,AV,Public,4082.308088,
1889,23,WEST CONGRESS,GO,Mixed Use,5.195588935,
353,1,CIRCLE C SOUTH,LR,Commercial,3.938892868,
480,1,DEL VALLE EAST,LR,Commercial,3.951024793,
312,1,CHERRY CREEK,GR,Mixed Use,0.374436852,
204,4,BOULDIN CREEK,LO,Vertical Mixed Use,0.862161715,
1136,15,NORTH AUSTIN CIVIC ASSOCIATION,CS-1,Commercial,1.539980803,
377,239,CORONADO HILLS,SF-3,Single Family,60.87285152,
158,2,BERGSTROM,MF-3,Multi-Family,3.083308559,
157,3,BERGSTROM,LI,Industrial,200.1603015,
501,15,DITTMAR--SLAUGHTER,LO,Office,19.60180776,
2066,8,WINDSOR ROAD,NO,Office,0.670645487,
163,9,BERGSTROM,SF-3,Single Family,40.70730606,
93,5,AVERY RANCH--LAKELINE,IP,Industrial,165.8137982,
225,20,BRENTWOOD,GO,Mixed Use,4.217701103,
2054,20,WINDSOR ROAD,GO,Office,4.818939776,
1595,2,SOUTH LAMAR,NO,Mixed Use,0.428156192,
612,3,FOUR POINTS,LR,Commercial,11.03856185,
162,1,BERGSTROM,SF-2,Single Family,0.428250937,
308,3,CHERRY CREEK,CS-1,Commercial,0.201733864,
207,17,BOULDIN CREEK,MF-2,Multi-Family,4.645040306,
365,19,CORONADO HILLS,GR,Mixed Use,22.12790167,
1546,10,SLAUGHTER CREEK,MF-2,Multi-Family,201.0005612,
176,1,BLUFF SPRINGS,MF-1,Multi-Family,1.355594512,
355,27,CIRCLE C SOUTH,PUD,Planned Unit Development,478.9941784,
540,28,DOWNTOWN,SF-3,Single Family,34.26585968,
1895,3,WEST CONGRESS,LR,Commercial,0.527594894,
107,4,AVERY RANCH--LAKELINE,SF-5,Single Family,26.53953444,
360,19,CORONADO HILLS,CS,Commercial,7.160861403,
350,3,CIRCLE C SOUTH,GR,Commercial,43.97187429,
932,1,JESTER,MF-2,Multi-Family,11.30915557,
48,2,ALLANDALE,GR,Mixed Use,5.371959325,
552,7,EAST CESAR CHAVEZ,LR,Mixed Use,0.629060063,
1000,3,MANSFIELD--RIVER PLACE,CS-1,Commercial,0.455080547,
541,12,DOWNTOWN,UNZ,Unzoned,35.92794058,
41,14,ALLANDALE,CS,Commercial,24.5981866,
245,3,BRODIE LANE,CS-1,Commercial,0.133843956,
160,4,BERGSTROM,P,Public,17.1582806,
406,5,DAVENPORT LAKE AUSTIN,LO,Office,63.50788488,
915,2,HYDE PARK,NO,Office,0.288778999,
422,11,DAWSON,CS-1,Vertical Mixed Use,1.079352636,
1794,2,UPPER BOGGY CREEK,CS-1,Mixed Use,0.039080112,
336,3,CHESTNUT,LO,Office,0.446844118,
861,222,HIGHLAND,TOD,TOD/Corridor/Specific Regulating District,72.60932139,
155,1,BERGSTROM,DR,"Agriculture, Development Reserve",57.47142946,
144,2,BARTON HILLS,NO,Office,4.614415508,
263,4,BULL CREEK,GO,Office,16.73310043,
1028,4,MCKINNEY,GR,Mixed Use,9.47728031,
78,198,ANDERSON MILL,SF-1,Single Family,1031.504291,
502,14,DITTMAR--SLAUGHTER,LR,Commercial,11.78993217,
1633,5,SOUTH RIVER CITY,GR,Vertical Mixed Use,0.345071418,
124,13,BARTON CREEK MALL AREA,RR,"Rural, Lake Austin Residence",360.3288527,
175,2,BLUFF SPRINGS,LR,Mixed Use,2.627572806,
125,11,BARTON CREEK MALL AREA,SF-1,Single Family,99.77498557,
114,9,BARTON CREEK MALL AREA,GR,Commercial,126.5677518,
1783,59,UNIVERSITY HILLS,MF-3,Multi-Family,6.753632093,
408,2,DAVENPORT LAKE AUSTIN,MF-1,Multi-Family,23.67006601,
254,1,BRODIE LANE,NO,Office,1.841134769,
337,5,CHESTNUT,LO,Vertical Mixed Use,0.258598974,
1788,65,UNIVERSITY HILLS,SF-3,Single Family,37.91359073,
2100,18,ZILKER,MF-3,Multi-Family,30.71973278,
320,1,CHERRY CREEK,MH,Mobile Home,2.925372405,
307,2,CHERRY CREEK,CS,Commercial,9.306289499,
279,4,CENTRAL EAST AUSTIN,CH,Vertical Mixed Use,3.26589311,
129,6,BARTON CREEK MALL AREA,SF-6,Single Family,41.10376893,
429,5,DAWSON,LR,Commercial,0.386490011,
621,32,FOUR POINTS,SF-1,Single Family,149.3320671,
922,2,HYDE PARK,UNZ,Unzoned,4.361054291,
203,12,BOULDIN CREEK,LO,Office,1.007252521,
1613,96,SOUTH MANCHACA,LO,Office,29.77229371,
1955,11,WEST UNIVERSITY,MF-5,Multi-Family,1.819691887,
246,2,BRODIE LANE,DR,"Agriculture, Development Reserve",10.4038296,
574,3,EAST CONGRESS,W/LO,Industrial,3.274733457,
2023,14,WINDSOR PARK,CS-1,Mixed Use,5.92018692,
1894,2,WEST CONGRESS,LO,Office,0.930585744,
100,2,AVERY RANCH--LAKELINE,MF-6,Multi-Family,9.554641004,
630,48,FRANKLIN PARK,GR,Commercial,67.2375568,
602,14,EAST OAK HILL,SF-5,Single Family,11.37468255,
546,3,EAST CESAR CHAVEZ,CS-1,Mixed Use,0.222879432,
1752,10,TECH RIDGE,LR,Commercial,30.0511965,
1188,62,NORTH LOOP,CS,Mixed Use,10.0159947,
593,15,EAST OAK HILL,MF-4,Multi-Family,100.6637335,
498,2,DITTMAR--SLAUGHTER,IP,Industrial,15.55981865,
731,140,GOVALLE,GR,Mixed Use,38.08398323,
500,4,DITTMAR--SLAUGHTER,LO,Mixed Use,2.868753828,
389,22,CRESTVIEW,GR,Mixed Use,4.324089351,
837,12,HERITAGE HILLS,P,Public,52.93167553,
396,48,CRESTVIEW,MF-3,Multi-Family,12.09449217,
416,5,DAVENPORT LAKE AUSTIN,SF-6,Single Family,16.15264039,
1310,6,ONION CREEK,CS,Mixed Use,67.58873034,
386,4,CRESTVIEW,CS-1,Vertical Mixed Use,0.117978936,
113,10,BARTON CREEK MALL AREA,GO,Office,88.19879698,
136,15,BARTON HILLS,GR,Commercial,109.7968528,
196,4,BOULDIN CREEK,GR,Commercial,0.647570504,
1760,21,TECH RIDGE,RR,"Rural, Lake Austin Residence",197.7472694,
1605,13,SOUTH MANCHACA,CS,Commercial,1.641729613,
1642,124,SOUTH RIVER CITY,MF-3,Multi-Family,42.02938065,
1715,7,ST. JOHN,LO,Mixed Use,2.645924491,
482,3,DEL VALLE EAST,MF-2,Multi-Family,27.57636875,
151,1,BARTON HILLS,SF-6,Single Family,2.079615548,
591,71,EAST OAK HILL,MF-2,Multi-Family,158.4057667,
60,2,ANDERSON MILL,CH,Commercial,6.830206634,
1477,11,ROSEDALE,GR,Commercial,6.067301765,
349,4,CIRCLE C SOUTH,GO,Office,35.61130076,
689,25,GARRISON PARK,RR,"Rural, Lake Austin Residence",0.021203789,
460,20,DEL VALLE,GR,Commercial,45.46748247,
477,1,DEL VALLE EAST,GR,Mixed Use,5.740713025,
301,3,CENTRAL EAST AUSTIN,SF-2,Single Family,0.224859432,
108,1,AVERY RANCH--LAKELINE,SF-6,Single Family,0.666945967,
562,7,EAST CONGRESS,CS-1,Commercial,1.692086225,
1041,28,MCNEIL,CS,Commercial,68.59734348,
300,10,CENTRAL EAST AUSTIN,P,Public,73.11656996,
154,5,BERGSTROM,CS,Commercial,56.84001158,
2007,11,WINDSOR HILLS,LO,Office,12.53172795,
131,1,BARTON HILLS,CH,Commercial,4.615535439,
230,4,BRENTWOOD,LO,Vertical Mixed Use,0.094739972,
927,4,JESTER,GR,Commercial,4.364461628,
1235,4,NORTH UNIVERSITY,GO,Office,0.216222329,
1707,44,ST. JOHN,CS,Commercial,57.25423586,
1355,8,PECAN SPRINGS-SPRINGDALE,LR,Mixed Use,0.616151267,
391,5,CRESTVIEW,LI,Industrial,14.42142642,
527,1,DOWNTOWN,GO,Vertical Mixed Use,0.423502787,
161,3,BERGSTROM,RR,"Rural, Lake Austin Residence",9.92149273,
549,12,EAST CESAR CHAVEZ,LO,Mixed Use,1.602447296,
413,60,DAVENPORT LAKE AUSTIN,SF-2,Single Family,169.2780274,
536,20,DOWNTOWN,MF-5,Multi-Family,26.91274801,
488,89,DEL VALLE EAST,SF-4A,Single Family,516.4746253,
921,1,HYDE PARK,SF-6,Single Family,0.453313602,
1438,5,ROBINSON RANCH,DR,"Agriculture, Development Reserve",39.87002327,
827,14,HERITAGE HILLS,GO,Office,10.65957781,
604,5,EAST OAK HILL,W/LO,Industrial,8.185793531,
1223,2,NORTH SHOAL CREEK,MF-2,Multi-Family,3.648165336,
252,4,BRODIE LANE,MF-2,Multi-Family,75.82101474,
293,5,CENTRAL EAST AUSTIN,LR,Commercial,0.377607502,
325,55,CHERRY CREEK,RR,"Rural, Lake Austin Residence",170.1408834,
267,11,BULL CREEK,LO,Office,61.50980166,
287,7,CENTRAL EAST AUSTIN,GR,Commercial,0.313336788,
56,3,ALLANDALE,P,Public,131.3723634,
79,303,ANDERSON MILL,SF-2,Single Family,1168.484893,
51,6,ALLANDALE,LR,Commercial,8.744854827,
613,1,FOUR POINTS,LR,Mixed Use,0.034456466,
305,4,CENTRAL EAST AUSTIN,UNZ,Unzoned,17.18795868,
248,13,BRODIE LANE,GR,Commercial,89.26235593,
506,3,DITTMAR--SLAUGHTER,MF-3,Multi-Family,26.44611193,
1167,3,NORTH LAMAR,CS-1,Vertical Mixed Use,0.503394918,
481,1,DEL VALLE EAST,LR,Mixed Use,11.00171328,
497,5,DITTMAR--SLAUGHTER,GR,Mixed Use,9.443514754,
499,11,DITTMAR--SLAUGHTER,LI,Industrial,104.595796,
143,2,BARTON HILLS,MF-4,Multi-Family,22.54600027,
374,1,CORONADO HILLS,P,Public,0.979121863,
361,6,CORONADO HILLS,CS,Mixed Use,2.099713819,
530,28,DOWNTOWN,LO,Office,12.27623906,
1112,5,MONTOPOLIS,GO,Office,1.15946956,
888,22,HOLLY,LI,Industrial,6.177816304,
1380,8,PLEASANT VALLEY,SF-6,Single Family,16.40588107,
800,35,HANCOCK,PUD,Planned Unit Development,36.58635321,
1991,3,WESTOVER HILLS,P,Public,43.20375746,
516,51,DITTMAR--SLAUGHTER,SF-4A,Single Family,135.0164316,
173,1,BLUFF SPRINGS,LO,Office,10.92440618,
1567,3,SOUTH BRODIE,LR,Mixed Use,3.651825466,
1612,3,SOUTH MANCHACA,LO,Mixed Use,1.604763199,
475,3,DEL VALLE EAST,DR,"Agriculture, Development Reserve",8.470250977,
2097,2,ZILKER,LR,Commercial,6.78012792,
240,10,BRENTWOOD,SF-6,Single Family,2.59546692,
256,4,BRODIE LANE,PUD,Planned Unit Development,92.69428217,
1513,4,ROSEWOOD,SF-5,Single Family,0.337463343,
1296,1,OLD WEST AUSTIN,MF-5,Multi-Family,1.194744916,
510,1,DITTMAR--SLAUGHTER,NO,Office,11.40149298,
82,26,ANDERSON MILL,SF-6,Single Family,157.1999143,
1703,16,ST. EDWARDS,RR,"Rural, Lake Austin Residence",16.0824476,
816,3,HARRIS BRANCH,RR,"Rural, Lake Austin Residence",48.93347342,
1530,14,SAMSUNG--PIONEER CROSSING,Unclassified,Unclassified,2.860248715,
70,19,ANDERSON MILL,LR,Commercial,28.12788291,
1502,9,ROSEWOOD,GR,Vertical Mixed Use,0.88087952,
513,3,DITTMAR--SLAUGHTER,SF-1,Single Family,3.292521123,
1368,2,PLEASANT VALLEY,GR,Mixed Use,1.959453898,
970,11,JOLLYVILLE,LR,Commercial,5.540777185,
101,5,AVERY RANCH--LAKELINE,P,Public,82.76194004,
1916,13,WEST OAK HILL,LI,Industrial,150.3240062,
1716,9,ST. JOHN,LR,Commercial,3.15585393,
1939,19,WEST UNIVERSITY,CS,Vertical Mixed Use,3.404969232,
378,6,CORONADO HILLS,SF-5,Single Family,0.86639108,
806,4,HARRIS BRANCH,CH,Commercial,34.47241881,
66,42,ANDERSON MILL,GR,Commercial,213.1166519,
986,7,LBJ,DR,"Agriculture, Development Reserve",26.04343283,
2019,38,WINDSOR PARK,CS,Commercial,19.20243529,
63,7,ANDERSON MILL,CS-1,Commercial,0.848293387,
1832,1,VILLAGE AT WESTERN OAKS,MF-1,Multi-Family,37.00886902,
1064,2,MLK,CS,Commercial,0.470292325,
533,1,DOWNTOWN,LR,Mixed Use,0.158683548,
911,1,HYDE PARK,MF-1,Multi-Family,0.001108578,
1207,2,NORTH LOOP,P,Public,0.146090705,
1950,11,WEST UNIVERSITY,LR,Mixed Use,0.43275532,
1590,2,SOUTH LAMAR,LR,Mixed Use,1.004434732,
1066,30,MLK,CS,Vertical Mixed Use,12.36613977,
769,18,GRACY WOODS,NO,Office,15.63372999,
876,24,HIGHLAND PARK,SF-2,Single Family,79.58045057,
872,1,HIGHLAND PARK,MF-2,Multi-Family,19.63870111,
1472,17,ROSEDALE,CS,Vertical Mixed Use,16.85129612,
459,5,DEL VALLE,DR,"Agriculture, Development Reserve",130.1642119,
2051,31,WINDSOR ROAD,CS,Vertical Mixed Use,5.434154861,
1398,59,POND SPRINGS,RR,"Rural, Lake Austin Residence",473.2033125,
310,6,CHERRY CREEK,GO,Office,30.08907397,
1828,8,VILLAGE AT WESTERN OAKS,GR,Commercial,85.42983974,
294,10,CENTRAL EAST AUSTIN,LR,Mixed Use,1.011899448,
1836,4,VILLAGE AT WESTERN OAKS,SF-1,Single Family,0.001389302,
874,7,HIGHLAND PARK,P,Public,46.04594127,
1308,9,ONION CREEK,CR,Commercial,333.4930161,
1585,2,SOUTH LAMAR,GR,Mixed Use,3.179926538,
1046,5,MCNEIL,IP,Industrial,71.42505779,
1919,169,WEST OAK HILL,LR,Commercial,78.79271282,
1165,1,NORTH LAMAR,CS-1,Commercial,0.854203099,
2102,2,ZILKER,MF-5,Multi-Family,4.555417947,
1454,1,ROGERS HILL,GR,Mixed Use,2.847450878,
1170,37,NORTH LAMAR,GR,Vertical Mixed Use,40.21710767,
1688,1,ST. EDWARDS,CS-1,Vertical Mixed Use,0.087649617,
1845,6,WALNUT CREEK--PIONEER HILL,DR,"Agriculture, Development Reserve",27.33656962,
264,6,BULL CREEK,GR,Commercial,30.94911469,
1338,4,PARKER LANE,MF-6,Multi-Family,5.182532148,
452,2,DECKER LAKE,SF-4A,Single Family,1.592205103,
904,3,HYDE PARK,GR,Commercial,3.497637712,
1802,17,UPPER BOGGY CREEK,LO,Vertical Mixed Use,3.89599982,
1632,24,SOUTH RIVER CITY,GR,Mixed Use,10.35834289,
1285,4,OLD WEST AUSTIN,GR,Vertical Mixed Use,3.175019692,
886,6,HOLLY,GR,Commercial,7.583377929,
1962,14,WEST UNIVERSITY,SF-5,Single Family,1.061506139,
1391,7,POND SPRINGS,LR,Commercial,5.18756004,
1601,1,SOUTH LAMAR,SF-4B,Single Family,1.533604864,
2045,3,WINDSOR PARK,RR,"Rural, Lake Austin Residence",0.038155454,
1043,8,MCNEIL,GO,Office,38.96250257,
2006,4,WINDSOR HILLS,LI,Industrial,1.539878738,
1115,5,MONTOPOLIS,IP,Industrial,33.53252285,
860,159,HIGHLAND,SF-6,Single Family,16.66306279,
871,3,HIGHLAND PARK,LR,Commercial,11.88539018,
2093,6,ZILKER,GR,Commercial,5.833396728,
985,1,LBJ,CS-1,Commercial,0.79780088,
933,1,JESTER,MF-3,Multi-Family,8.181004808,
925,5,JESTER,DR,"Agriculture, Development Reserve",907.2324203,
1811,36,UPPER BOGGY CREEK,TOD,TOD/Corridor/Specific Regulating District,10.34815016,
1267,95,NORTHWEST HILLS,SF-3,Single Family,600.1885554,
852,6,HIGHLAND,LR,Vertical Mixed Use,0.624456786,
2002,1,WINDSOR HILLS,CS-1,Commercial,0.026234152,
476,10,DEL VALLE EAST,GR,Commercial,55.72696722,
857,27,HIGHLAND,NO,Vertical Mixed Use,1.587150751,
46,1,ALLANDALE,GO,Office,4.7720933,
918,1,HYDE PARK,PUD,Planned Unit Development,2.481178046,
494,1,DITTMAR--SLAUGHTER,GO,Mixed Use,4.298959176,
392,19,CRESTVIEW,LO,Mixed Use,1.896869655,
1599,52,SOUTH LAMAR,SF-3,Single Family,248.8732898,
1123,8,MONTOPOLIS,MF-3,Multi-Family,10.78166477,
776,6,GRACY WOODS,SF-4A,Single Family,54.03287186,
1305,1,OLD WEST AUSTIN,SF-6,Single Family,0.633107573,
775,61,GRACY WOODS,SF-3,Single Family,162.122355,
1786,3,UNIVERSITY HILLS,RR,"Rural, Lake Austin Residence",0.245777547,
866,9,HIGHLAND PARK,DR,"Agriculture, Development Reserve",224.5822144,
528,3,DOWNTOWN,GR,Commercial,2.095393761,
1261,9,NORTHWEST HILLS,MF-3,Multi-Family,71.63999072,
1518,1,SAMSUNG--PIONEER CROSSING,GR,Commercial,26.0254694,
1370,5,PLEASANT VALLEY,LR,Commercial,14.97770476,
1653,6,SOUTHEAST,CH,Commercial,6.956979935,
1096,15,MLK-183,LR,Mixed Use,1.642632632,
2084,21,WOOTEN,P,Public,39.08103987,
1875,45,WEST AUSTIN NEIGHBORHOOD GROUP,MF-2,Multi-Family,5.559154539,
420,1,DAWSON,CS-1,Commercial,0.048567822,
786,2,HANCOCK,CS-1,Vertical Mixed Use,0.292716796,
1264,7,NORTHWEST HILLS,PUD,Planned Unit Development,84.47320397,
1076,24,MLK,NO,Mixed Use,3.093919149,
843,2,HIGHLAND,CS,Mixed Use,0.052514938,
780,5,GRACY WOODS,W/LO,Industrial,15.97971771,
1848,16,WALNUT CREEK--PIONEER HILL,IP,Industrial,254.8726788,
1779,31,UNIVERSITY HILLS,LO,Office,16.23638334,
1943,78,WEST UNIVERSITY,GO,Office,10.76134365,
1784,3,UNIVERSITY HILLS,NO,Office,0.356665913,
296,57,CENTRAL EAST AUSTIN,MF-3,Multi-Family,7.3013776,
447,1,DECKER LAKE,MF-3,Multi-Family,89.93113142,
1817,4,UT,LO,Office,0.200570652,
1500,5,ROSEWOOD,GO,Vertical Mixed Use,1.988267414,
76,1,ANDERSON MILL,PUD,Planned Unit Development,7.916451722,
1545,1,SLAUGHTER CREEK,MF-1,Multi-Family,22.56395393,
1384,9,POND SPRINGS,CS-1,Commercial,1.954470277,
526,88,DOWNTOWN,GO,Office,39.15318446,
1522,1,SAMSUNG--PIONEER CROSSING,MF-2,Multi-Family,14.11876102,
836,7,HERITAGE HILLS,MH,Mobile Home,50.15623351,
1327,11,PARKER LANE,CS,Mixed Use,11.92949886,
397,2,CRESTVIEW,P,Public,0.193648405,
1593,7,SOUTH LAMAR,MF-3,Multi-Family,12.75112291,
1226,1,NORTH SHOAL CREEK,MF-6,Multi-Family,2.823357796,
1286,21,OLD WEST AUSTIN,LI,Industrial,63.81767484,
1971,131,WESTGATE,MF-2,Multi-Family,30.73279197,
1306,1,OLD WEST AUSTIN,UNZ,Unzoned,25.36876457,
2011,3,WINDSOR HILLS,P,Public,1.807257764,
1225,4,NORTH SHOAL CREEK,MF-4,Multi-Family,8.314691415,
1492,105,ROSEDALE,SF-3,Single Family,234.953831,
1528,45,SAMSUNG--PIONEER CROSSING,SF-4A,Single Family,271.9282417,
1295,78,OLD WEST AUSTIN,MF-4,Multi-Family,46.75620605,
1896,4,WEST CONGRESS,LR,Mixed Use,0.406610122,
1478,4,ROSEDALE,GR,Vertical Mixed Use,1.010252806,
1042,5,MCNEIL,CS-1,Commercial,3.54701761,
944,2,JOHNSTON TERRACE,GO,Office,2.576961445,
939,4,JESTER,SF-6,Single Family,250.9740622,
1880,114,WEST AUSTIN NEIGHBORHOOD GROUP,PUD,Planned Unit Development,16.15598984,
569,88,EAST CONGRESS,PUD,Planned Unit Development,7.768894044,
1479,1,ROSEDALE,LO,Mixed Use,0.144242569,
1091,77,MLK-183,GR,Mixed Use,54.75529544,
89,2,AVERY RANCH--LAKELINE,GO,Mixed Use,59.07646961,
1658,13,SOUTHEAST,GR,Mixed Use,4.502642234,
446,1,DECKER LAKE,MF-2,Multi-Family,3.4940501,
1634,6,SOUTH RIVER CITY,L,Commercial,9.586473197,
822,1,HAYS WARTHA,SF-2,Single Family,1.436628561,
1721,39,ST. JOHN,P,Public,22.20215336,
821,7,HAYS WARTHA,RR,"Rural, Lake Austin Residence",1712.6989,
755,53,GRACY WOODS,GR,Commercial,282.1832331,
1324,1,ONION CREEK,SF-6,Single Family,4.588029876,
1870,3,WEST AUSTIN NEIGHBORHOOD GROUP,GR,Mixed Use,0.144637153,
303,5,CENTRAL EAST AUSTIN,SF-6,Single Family,0.540559079,
1559,1,SOUTH BRODIE,CS-1,Commercial,0.0713457,
1964,63,WESTGATE,CS,Commercial,58.02816992,
1928,1,WEST OAK HILL,R&D,Industrial,68.1439743,
1728,9,SWEETBRIAR,GO,Mixed Use,3.473951673,
1392,1,POND SPRINGS,LR,Mixed Use,5.311790785,
